team,color,border_color
Atlanta Hawks, #E03A3E, #C1D32F
Boston Celtics, #007a33, #BA9653
Brooklyn Nets, #000, #000
Charlotte Hornets, #1D1160, #00788c
Chicago Bulls, #CE1141, #000
Cleveland Cavaliers, #6f263d, #ffb81c
Dallas Mavericks, #00538C, #B8C4CA
Denver Nuggets, #00285E, #ffffff
Detroit Pistons, #ED174C, #006BB6
Golden State Warriors, #006BB6, #fdb927
Houston Rockets, #ce1141, #000000
Indiana Pacers, #002D62, #fdbb30
Los Angeles Clippers, #ED174C, #006bb6
Los Angeles Lakers, #552583, #ffc72c
Memphis Grizzlies, #6189B9, #00285E
Miami Heat, #98002e, #F9A01B
Milwaukee Bucks, #00471b, #eee1c6
Minnesota Timberwolves, #0c2340, #236192
New Orleans Pelicans, #002b5c, #E31837
New York Knicks, #006BB6, #f58426
Oklahoma City Thunder, #007AC1, #ef3b24
Orlando Magic, #0057b8, #c2ccd2
Philadelphia 76ers, #006BB6, #ED174C
Phoenix Suns, #1D1160, #e56020
Portland Trail Blazers, #E03A3E, #000000
Sacramento Kings, #5A2D81, #63727a
San Antonio Spurs, #000, #C4CED4
Toronto Raptors, #CE1141, #000
Utah Jazz, #002B5C, #F9A01B
Washington Wizards, #002B5C, #e31837
Seattle Supersonics, #00653a, #ffc200
